Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 4:47:47 PM
Zeit (ms)	Zählrate (1/min)
0	68
15115	92
30242	72
45252	72
60377	80
75500	88
90608	68
105727	72
120848	108
135968	80
150988	88
166101	64
181214	72
196332	88
211451	56
226571	68
241691	124
