Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 4:34:07 PM
Zeit (ms)	Zählrate (1/min)
0	96
15117	84
30229	92
45349	88
60366	96
75494	116
90617	64
105738	56
120866	116
135996	108
151107	76
166116	60
181329	100
196438	112
211458	76
226575	108
230081	140
