Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 4:43:23 PM
Zeit (ms)	Zählrate (1/min)
0	64
15036	88
30175	72
45303	96
60429	72
75460	76
90585	92
105716	96
120854	92
135876	96
150990	84
166110	60
181239	68
196273	76
211397	68
226511	68
228714	120
