Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 4:38:59 PM
Zeit (ms)	Zählrate (1/min)
0	92
15036	100
30166	84
45290	72
60399	84
75525	92
90637	112
105749	100
120865	88
135979	76
151088	124
166205	116
181223	68
196342	80
211458	84
226573	64
227973	180
