Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 4:28:49 PM
Zeit (ms)	Zählrate (1/min)
0	64
15121	104
30230	116
45345	84
60464	116
75577	92
90597	92
105718	100
120832	144
135967	84
151097	92
166225	84
181344	116
196464	132
211581	136
226600	140
235912	66
